"","modl","orig","lonname","latname","timename","sub","ann","detr","var"
"1","CABLE","CABLE-POP_S2_gpp.nc","x","y","time","CABLE-POP_S2_gpp_sub.nc","/Users/benjaminstocker/data/trendy/v5/CABLE/S2/CABLE-POP_S2_gpp_sub_ann.nc",NA,NA
"2","CLASS-CTEM","CTEM_S2_gpp.nc","lon","lat","time","CLASS-CTEM_S2_gpp_sub.nc","/Users/benjaminstocker/data/trendy/v5/CLASS-CTEM/S2/CLASS-CTEM_S2_gpp_sub_ann.nc",NA,NA
"3","CLM","CLM4.5_S2_gpp.nc","lon","lat","time","CLM4.5_S2_gpp_sub.nc","/Users/benjaminstocker/data/trendy/v5/CLM/S2/CLM4.5_S2_gpp_sub_ann.nc",NA,NA
"4","DLEM","","","","","",NA,NA,NA
"5","ISAM","ISAM_S2_gpp.nc","LONGITUDE","LATITUDE","TIME","ISAM_S2_gpp_sub.nc","/Users/benjaminstocker/data/trendy/v5/ISAM/S2/ISAM_S2_gpp_sub_ann.nc",NA,NA
"6","JSBACH","JSBACH_S2_gpp.nc","lon","lat","time","JSBACH_S2_gpp_sub.nc","/Users/benjaminstocker/data/trendy/v5/JSBACH/S2/JSBACH_S2_gpp_sub_ann.nc",NA,NA
"7","JULES","CRU-NCEP_1p1.update.vn4.6.S2.Annual.gpp.nc","LONGITUDE","LATITUDE","TIME","CRU-NCEP_1p1.update.vn4.6.S2.Annual.gpp_sub.nc","/Users/benjaminstocker/data/trendy/v5/JULES/S2/CRU-NCEP_1p1.update.vn4.6.S2.Annual.gpp_sub_ann.nc",NA,NA
"8","LPJ","","","","","",NA,NA,NA
"9","LPJ-GUESS","LPJ-GUESS_S2_gpp_fEst.nc","lon","lat","time","LPJ-GUESS_S2_gpp_fEst_sub.nc","/Users/benjaminstocker/data/trendy/v5/LPJ-GUESS/S2/LPJ-GUESS_S2_gpp_fEst_sub_ann.nc",NA,NA
"10","OCN","","","","","",NA,NA,NA
"11","LPX-Bern","LPX_S2_gpp.nc","LONGITUDE","LATITUDE","TIME","LPX_S2_gpp_sub.nc","/Users/benjaminstocker/data/trendy/v5/LPX-Bern/S2/LPX_S2_gpp_sub_ann.nc",NA,NA
"12","ORCHIDEE","orchidee_S2_gpp.nc","LONGITUDE","LATITUDE","TIME","orchidee_S2_gpp_sub.nc","/Users/benjaminstocker/data/trendy/v5/ORCHIDEE/S2/orchidee_S2_gpp_sub_ann.nc",NA,NA
"13","ORCHIDEE-MICT","","","","","",NA,NA,NA
"14","SDGVM","SDGVM_S2_gpp.nc","LONGITUDE","LATITUDE","TIME","SDGVM_S2_gpp_sub.nc","/Users/benjaminstocker/data/trendy/v5/SDGVM/S2/SDGVM_S2_gpp_sub_ann.nc",NA,NA
"15","SURFEX","","","","","",NA,NA,NA
"16","VEGAS","VEGAS_S2_gpp.nc","lon","lat","time","VEGAS_S2_gpp_sub.nc","/Users/benjaminstocker/data/trendy/v5/VEGAS/S2/VEGAS_S2_gpp_sub_ann.nc",NA,NA
"17","VISIT","VISIT_S2_gpp.nc","lon","lat","time","VISIT_S2_gpp_sub.nc","/Users/benjaminstocker/data/trendy/v5/VISIT/S2/VISIT_S2_gpp_sub_ann.nc",NA,NA
